"score","team","opponent","home"
0,"Burnley","Man City",1
3,"Man City","Burnley",0
2,"Arsenal","Nottingham Forest",1
1,"Nottingham Forest","Arsenal",0
1,"Bournemouth","West Ham",1
1,"West Ham","Bournemouth",0
4,"Brighton","Luton",1
1,"Luton","Brighton",0
0,"Everton","Fulham",1
1,"Fulham","Everton",0
0,"Sheffield Utd","Crystal Palace",1
1,"Crystal Palace","Sheffield Utd",0
5,"Newcastle","Aston Villa",1
1,"Aston Villa","Newcastle",0
2,"Brentford","Spurs",1
2,"Spurs","Brentford",0
1,"Chelsea","Liverpool",1
1,"Liverpool","Chelsea",0
1,"Man Utd","Wolves",1
0,"Wolves","Man Utd",0
2,"Nottingham Forest","Sheffield Utd",1
1,"Sheffield Utd","Nottingham Forest",0
0,"Fulham","Brentford",1
3,"Brentford","Fulham",0
3,"Liverpool","Bournemouth",1
1,"Bournemouth","Liverpool",0
1,"Wolves","Brighton",1
4,"Brighton","Wolves",0
2,"Spurs","Man Utd",1
0,"Man Utd","Spurs",0
1,"Man City","Newcastle",1
0,"Newcastle","Man City",0
4,"Aston Villa","Everton",1
0,"Everton","Aston Villa",0
3,"West Ham","Chelsea",1
1,"Chelsea","West Ham",0
0,"Crystal Palace","Arsenal",1
1,"Arsenal","Crystal Palace",0
1,"Luton","Burnley",1
2,"Burnley","Luton",0
3,"Chelsea","Luton",1
0,"Luton","Chelsea",0
0,"Bournemouth","Spurs",1
2,"Spurs","Bournemouth",0
2,"Arsenal","Fulham",1
2,"Fulham","Arsenal",0
1,"Brentford","Crystal Palace",1
1,"Crystal Palace","Brentford",0
0,"Everton","Wolves",1
1,"Wolves","Everton",0
3,"Man Utd","Nottingham Forest",1
2,"Nottingham Forest","Man Utd",0
1,"Brighton","West Ham",1
3,"West Ham","Brighton",0
1,"Burnley","Aston Villa",1
3,"Aston Villa","Burnley",0
1,"Sheffield Utd","Man City",1
2,"Man City","Sheffield Utd",0
1,"Newcastle","Liverpool",1
2,"Liverpool","Newcastle",0
1,"Luton","West Ham",1
2,"West Ham","Luton",0
2,"Sheffield Utd","Everton",1
2,"Everton","Sheffield Utd",0
2,"Brentford","Bournemouth",1
2,"Bournemouth","Brentford",0
2,"Burnley","Spurs",1
5,"Spurs","Burnley",0
0,"Chelsea","Nottingham Forest",1
1,"Nottingham Forest","Chelsea",0
5,"Man City","Fulham",1
1,"Fulham","Man City",0
3,"Brighton","Newcastle",1
1,"Newcastle","Brighton",0
3,"Crystal Palace","Wolves",1
2,"Wolves","Crystal Palace",0
3,"Liverpool","Aston Villa",1
0,"Aston Villa","Liverpool",0
3,"Arsenal","Man Utd",1
1,"Man Utd","Arsenal",0
1,"Wolves","Liverpool",1
3,"Liverpool","Wolves",0
3,"Aston Villa","Crystal Palace",1
1,"Crystal Palace","Aston Villa",0
1,"Fulham","Luton",1
0,"Luton","Fulham",0
1,"Man Utd","Brighton",1
3,"Brighton","Man Utd",0
2,"Spurs","Sheffield Utd",1
1,"Sheffield Utd","Spurs",0
1,"West Ham","Man City",1
3,"Man City","West Ham",0
1,"Newcastle","Brentford",1
0,"Brentford","Newcastle",0
0,"Bournemouth","Chelsea",1
0,"Chelsea","Bournemouth",0
0,"Everton","Arsenal",1
1,"Arsenal","Everton",0
1,"Nottingham Forest","Burnley",1
1,"Burnley","Nottingham Forest",0
0,"Crystal Palace","Fulham",1
0,"Fulham","Crystal Palace",0
1,"Luton","Wolves",1
1,"Wolves","Luton",0
2,"Man City","Nottingham Forest",1
0,"Nottingham Forest","Man City",0
1,"Brentford","Everton",1
3,"Everton","Brentford",0
0,"Burnley","Man Utd",1
1,"Man Utd","Burnley",0
2,"Arsenal","Spurs",1
2,"Spurs","Arsenal",0
3,"Brighton","Bournemouth",1
1,"Bournemouth","Brighton",0
0,"Chelsea","Aston Villa",1
1,"Aston Villa","Chelsea",0
3,"Liverpool","West Ham",1
1,"West Ham","Liverpool",0
0,"Sheffield Utd","Newcastle",1
8,"Newcastle","Sheffield Utd",0
6,"Aston Villa","Brighton",1
1,"Brighton","Aston Villa",0
0,"Bournemouth","Arsenal",1
4,"Arsenal","Bournemouth",0
1,"Everton","Luton",1
2,"Luton","Everton",0
0,"Man Utd","Crystal Palace",1
1,"Crystal Palace","Man Utd",0
2,"Newcastle","Burnley",1
0,"Burnley","Newcastle",0
2,"West Ham","Sheffield Utd",1
0,"Sheffield Utd","West Ham",0
2,"Wolves","Man City",1
1,"Man City","Wolves",0
2,"Spurs","Liverpool",1
1,"Liverpool","Spurs",0
1,"Nottingham Forest","Brentford",1
1,"Brentford","Nottingham Forest",0
0,"Fulham","Chelsea",1
2,"Chelsea","Fulham",0
0,"Luton","Spurs",1
1,"Spurs","Luton",0
1,"Burnley","Chelsea",1
4,"Chelsea","Burnley",0
3,"Everton","Bournemouth",1
0,"Bournemouth","Everton",0
3,"Fulham","Sheffield Utd",1
1,"Sheffield Utd","Fulham",0
2,"Man Utd","Brentford",1
1,"Brentford","Man Utd",0
0,"Crystal Palace","Nottingham Forest",1
0,"Nottingham Forest","Crystal Palace",0
2,"Brighton","Liverpool",1
2,"Liverpool","Brighton",0
2,"West Ham","Newcastle",1
2,"Newcastle","West Ham",0
1,"Wolves","Aston Villa",1
1,"Aston Villa","Wolves",0
1,"Arsenal","Man City",1
0,"Man City","Arsenal",0
2,"Liverpool","Everton",1
0,"Everton","Liverpool",0
1,"Bournemouth","Wolves",1
2,"Wolves","Bournemouth",0
3,"Brentford","Burnley",1
0,"Burnley","Brentford",0
2,"Man City","Brighton",1
1,"Brighton","Man City",0
4,"Newcastle","Crystal Palace",1
0,"Crystal Palace","Newcastle",0
2,"Nottingham Forest","Luton",1
2,"Luton","Nottingham Forest",0
2,"Chelsea","Arsenal",1
2,"Arsenal","Chelsea",0
1,"Sheffield Utd","Man Utd",1
2,"Man Utd","Sheffield Utd",0
4,"Aston Villa","West Ham",1
1,"West Ham","Aston Villa",0
2,"Spurs","Fulham",1
0,"Fulham","Spurs",0
1,"Crystal Palace","Spurs",1
2,"Spurs","Crystal Palace",0
0,"Chelsea","Brentford",1
2,"Brentford","Chelsea",0
5,"Arsenal","Sheffield Utd",1
0,"Sheffield Utd","Arsenal",0
2,"Bournemouth","Burnley",1
1,"Burnley","Bournemouth",0
2,"Wolves","Newcastle",1
2,"Newcastle","Wolves",0
0,"West Ham","Everton",1
1,"Everton","West Ham",0
3,"Aston Villa","Luton",1
1,"Luton","Aston Villa",0
1,"Brighton","Fulham",1
1,"Fulham","Brighton",0
3,"Liverpool","Nottingham Forest",1
0,"Nottingham Forest","Liverpool",0
0,"Man Utd","Man City",1
3,"Man City","Man Utd",0
0,"Fulham","Man Utd",1
1,"Man Utd","Fulham",0
3,"Brentford","West Ham",1
2,"West Ham","Brentford",0
0,"Burnley","Crystal Palace",1
2,"Crystal Palace","Burnley",0
1,"Everton","Brighton",1
1,"Brighton","Everton",0
6,"Man City","Bournemouth",1
1,"Bournemouth","Man City",0
2,"Sheffield Utd","Wolves",1
1,"Wolves","Sheffield Utd",0
1,"Newcastle","Arsenal",1
0,"Arsenal","Newcastle",0
2,"Nottingham Forest","Aston Villa",1
0,"Aston Villa","Nottingham Forest",0
1,"Luton","Liverpool",1
1,"Liverpool","Luton",0
1,"Spurs","Chelsea",1
4,"Chelsea","Spurs",0
2,"Wolves","Spurs",1
1,"Spurs","Wolves",0
3,"Arsenal","Burnley",1
1,"Burnley","Arsenal",0
2,"Crystal Palace","Everton",1
3,"Everton","Crystal Palace",0
1,"Man Utd","Luton",1
0,"Luton","Man Utd",0
2,"Bournemouth","Newcastle",1
0,"Newcastle","Bournemouth",0
3,"Aston Villa","Fulham",1
1,"Fulham","Aston Villa",0
1,"Brighton","Sheffield Utd",1
1,"Sheffield Utd","Brighton",0
3,"Liverpool","Brentford",1
0,"Brentford","Liverpool",0
3,"West Ham","Nottingham Forest",1
2,"Nottingham Forest","West Ham",0
4,"Chelsea","Man City",1
4,"Man City","Chelsea",0
1,"Man City","Liverpool",1
1,"Liverpool","Man City",0
1,"Burnley","West Ham",1
2,"West Ham","Burnley",0
2,"Luton","Crystal Palace",1
1,"Crystal Palace","Luton",0
4,"Newcastle","Chelsea",1
1,"Chelsea","Newcastle",0
2,"Nottingham Forest","Brighton",1
3,"Brighton","Nottingham Forest",0
1,"Sheffield Utd","Bournemouth",1
3,"Bournemouth","Sheffield Utd",0
0,"Brentford","Arsenal",1
1,"Arsenal","Brentford",0
1,"Spurs","Aston Villa",1
2,"Aston Villa","Spurs",0
0,"Everton","Man Utd",1
3,"Man Utd","Everton",0
3,"Fulham","Wolves",1
2,"Wolves","Fulham",0
2,"Arsenal","Wolves",1
1,"Wolves","Arsenal",0
3,"Brentford","Luton",1
1,"Luton","Brentford",0
5,"Burnley","Sheffield Utd",1
0,"Sheffield Utd","Burnley",0
0,"Nottingham Forest","Everton",1
1,"Everton","Nottingham Forest",0
1,"Newcastle","Man Utd",1
0,"Man Utd","Newcastle",0
2,"Bournemouth","Aston Villa",1
2,"Aston Villa","Bournemouth",0
3,"Chelsea","Brighton",1
2,"Brighton","Chelsea",0
4,"Liverpool","Fulham",1
3,"Fulham","Liverpool",0
1,"West Ham","Crystal Palace",1
1,"Crystal Palace","West Ham",0
3,"Man City","Spurs",1
3,"Spurs","Man City",0
1,"Wolves","Burnley",1
0,"Burnley","Wolves",0
3,"Luton","Arsenal",1
4,"Arsenal","Luton",0
2,"Brighton","Brentford",1
1,"Brentford","Brighton",0
5,"Fulham","Nottingham Forest",1
0,"Nottingham Forest","Fulham",0
0,"Sheffield Utd","Liverpool",1
2,"Liverpool","Sheffield Utd",0
0,"Crystal Palace","Bournemouth",1
2,"Bournemouth","Crystal Palace",0
1,"Aston Villa","Man City",1
0,"Man City","Aston Villa",0
2,"Man Utd","Chelsea",1
1,"Chelsea","Man Utd",0
3,"Everton","Newcastle",1
0,"Newcastle","Everton",0
1,"Spurs","West Ham",1
2,"West Ham","Spurs",0
1,"Crystal Palace","Liverpool",1
2,"Liverpool","Crystal Palace",0
1,"Brighton","Burnley",1
1,"Burnley","Brighton",0
0,"Man Utd","Bournemouth",1
3,"Bournemouth","Man Utd",0
1,"Sheffield Utd","Brentford",1
0,"Brentford","Sheffield Utd",0
1,"Wolves","Nottingham Forest",1
1,"Nottingham Forest","Wolves",0
1,"Aston Villa","Arsenal",1
0,"Arsenal","Aston Villa",0
2,"Everton","Chelsea",1
0,"Chelsea","Everton",0
5,"Fulham","West Ham",1
0,"West Ham","Fulham",0
1,"Luton","Man City",1
2,"Man City","Luton",0
4,"Spurs","Newcastle",1
1,"Newcastle","Spurs",0
0,"Nottingham Forest","Spurs",1
2,"Spurs","Nottingham Forest",0
2,"Chelsea","Sheffield Utd",1
0,"Sheffield Utd","Chelsea",0
2,"Man City","Crystal Palace",1
2,"Crystal Palace","Man City",0
3,"Newcastle","Fulham",1
0,"Fulham","Newcastle",0
0,"Burnley","Everton",1
2,"Everton","Burnley",0
2,"Arsenal","Brighton",1
0,"Brighton","Arsenal",0
1,"Brentford","Aston Villa",1
2,"Aston Villa","Brentford",0
3,"West Ham","Wolves",1
0,"Wolves","West Ham",0
0,"Liverpool","Man Utd",1
0,"Man Utd","Liverpool",0
4,"Bournemouth","Luton",1
3,"Luton","Bournemouth",0
1,"Crystal Palace","Brighton",1
1,"Brighton","Crystal Palace",0
1,"Aston Villa","Sheffield Utd",1
1,"Sheffield Utd","Aston Villa",0
2,"West Ham","Man Utd",1
0,"Man Utd","West Ham",0
0,"Fulham","Burnley",1
2,"Burnley","Fulham",0
1,"Luton","Newcastle",1
0,"Newcastle","Luton",0
2,"Nottingham Forest","Bournemouth",1
3,"Bournemouth","Nottingham Forest",0
2,"Spurs","Everton",1
1,"Everton","Spurs",0
1,"Liverpool","Arsenal",1
1,"Arsenal","Liverpool",0
2,"Wolves","Chelsea",1
1,"Chelsea","Wolves",0
1,"Man City","Brentford",1
0,"Brentford","Man City",0
1,"Newcastle","Nottingham Forest",1
3,"Nottingham Forest","Newcastle",0
3,"Bournemouth","Fulham",1
0,"Fulham","Bournemouth",0
2,"Sheffield Utd","Luton",1
3,"Luton","Sheffield Utd",0
0,"Burnley","Liverpool",1
2,"Liverpool","Burnley",0
3,"Man Utd","Aston Villa",1
2,"Aston Villa","Man Utd",0
1,"Brentford","Wolves",1
4,"Wolves","Brentford",0
2,"Chelsea","Crystal Palace",1
1,"Crystal Palace","Chelsea",0
1,"Everton","Man City",1
3,"Man City","Everton",0
4,"Brighton","Spurs",1
2,"Spurs","Brighton",0
0,"Arsenal","West Ham",1
2,"West Ham","Arsenal",0
2,"Luton","Chelsea",1
3,"Chelsea","Luton",0
3,"Aston Villa","Burnley",1
2,"Burnley","Aston Villa",0
3,"Crystal Palace","Brentford",1
1,"Brentford","Crystal Palace",0
2,"Man City","Sheffield Utd",1
0,"Sheffield Utd","Man City",0
3,"Wolves","Everton",1
0,"Everton","Wolves",0
2,"Nottingham Forest","Man Utd",1
1,"Man Utd","Nottingham Forest",0
2,"Fulham","Arsenal",1
1,"Arsenal","Fulham",0
3,"Spurs","Bournemouth",1
1,"Bournemouth","Spurs",0
4,"Liverpool","Newcastle",1
2,"Newcastle","Liverpool",0
0,"West Ham","Brighton",1
0,"Brighton","West Ham",0
